Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,MALE,15,2.6,128,-0.175,8,Thu,Introductory,2018,0,1,0,1,0,0,1,0
Fall,FEMALE,17,3,130,-0.336,7,Thu,Introductory,2018,0,26,0,1,0,0,1,0
Fall,FEMALE,24,3.4,153,-0.031,7,Thu,Introductory,2020,0,83,1,1,0,0,1,0
Fall,FEMALE,15,3.666,125,-0.015,8,Thu,Introductory,2020,0,15,1,1,0,0,1,0
Fall,MALE,3,0,136,-3.186,6,Thu,Introductory,2018,0,35,0,1,0,0,1,0
Fall,FEMALE,15,3.2,125,-0.141,7,Thu,Introductory,2018,0,33,0,1,0,0,1,0
Fall,FEMALE,15,4,137,0,8,Thu,Intermediate,2018,0,1,0,0,1,0,1,0
Fall,FEMALE,15,3.8,148.27,0.04,9,Thu,Advanced,2018,0,7,0,0,0,0,1,0
Fall,FEMALE,12,2.666,143,-0.799,8,Thu,Introductory,2021,0,6,1,1,0,0,1,0
Fall,MALE,18,3.833,138,0.659,9,Thu,Introductory,2018,0,16,0,1,0,0,1,0
Fall,FEMALE,17,3.571,147,-0.061,10,Thu,Introductory,2021,0,6,1,1,0,0,1,0
Fall,FEMALE,19,3.176,133,-0.525,7,Thu,Introductory,2020,0,6,1,1,0,0,1,0
Fall,MALE,15,3.6,122,-0.08,7,Thu,Intermediate,2019,0,31,1,0,0,0,1,0
Fall,MALE,21,2.266,25,0.984,8,Thu,Introductory,2018,1,2,0,1,0,0,1,0
Fall,MALE,16,3.3,27,0.509,9,Thu,Introductory,2017,1,6,0,1,0,0,1,0
Fall,MALE,0,0,143,-3.117,8,Thu,Introductory,2018,0,11,0,1,0,0,1,0
Fall,MALE,18,4,139,0.054,7,Thu,Introductory,2020,0,2,1,1,0,0,1,0
Fall,MALE,16,3.437,123,0.446,8,Thu,Introductory,2019,0,36,1,1,0,0,1,0
Fall,FEMALE,19,3.769,123,0.103,9,Thu,Introductory,2020,0,3,1,1,0,0,1,0
Fall,FEMALE,18,3.666,134,-0.245,10,Thu,Introductory,2018,0,25,0,1,0,0,1,0
Fall,FEMALE,13,3.23,35,0.162,10,Thu,Introductory,2017,1,10,0,1,0,0,1,0
Fall,FEMALE,14,4,176,0.375,10,Thu,Introductory,2020,0,30,1,1,0,0,1,0
Fall,FEMALE,16,3.062,128,-0.139,10,Thu,Introductory,2020,0,27,1,1,0,0,1,0
Fall,MALE,17,2.647,122,-0.268,10,Thu,Introductory,2020,0,3,1,1,0,0,1,0
Fall,FEMALE,13,2.769,125,-0.695,11,Thu,Introductory,2020,0,3,1,0,0,0,1,0
Fall,MALE,13,3,125,0.385,12,Thu,Introductory,2018,0,1,0,1,0,0,1,0
Fall,FEMALE,18,4,127,0,12,Thu,Introductory,2021,0,20,1,1,0,0,1,0
Fall,FEMALE,17,3.117,124,-0.883,11,Thu,Introductory,2021,0,10,1,1,0,0,1,0
Fall,FEMALE,17,2.764,132,-0.262,12,Thu,Graduate,2021,0,2,1,1,0,0,1,0
