Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Group_Check_In,Total_Visits
Fall 2016,2,FEMALE,13,3.538,132,3.136,0.402,4,Thu,9,Intermediate,2018,0,1,0,1
Fall 2016,2,MALE,18,3.666,159,3.736,-0.07,5,Thu,10,Introductory,2019,0,1,0,71
Fall 2016,2,MALE,12,3.5,173,3.304,0.196,6,Thu,10,Introductory,2018,0,1,0,29
Fall 2016,2,MALE,14,2.428,134,2.8,-0.372,5,Thu,10,Introductory,2018,0,1,0,16
Fall 2016,2,FEMALE,13,2.1,126,2.822,-0.722,6,Thu,10,Introductory,2019,0,1,0,9
Fall 2016,2,MALE,13,2.846,132,2.472,0.374,7,Thu,10,Introductory,2019,0,1,0,6
Fall 2016,2,MALE,15,2.25,124,2.822,-0.572,5,Thu,11,Introductory,2020,0,1,0,3
Fall 2016,2,FEMALE,13,2.8,153,3.39,-0.59,6,Thu,11,Introductory,2020,0,1,0,1
Fall 2016,2,MALE,15,3.666,123,3.57,0.096,7,Thu,12,Introductory,2020,0,1,0,60
Fall 2016,2,FEMALE,15,3.8,127,3.537,0.263,7,Thu,12,Introductory,2019,0,1,0,1
Fall 2016,2,FEMALE,15,3.4,133,3,0.4,8,Thu,12,Intermediate,2018,0,1,0,2
Fall 2016,2,MALE,15,2.6,128,2.775,-0.175,8,Thu,12,Introductory,2018,0,1,0,1
Fall 2016,2,FEMALE,17,3,130,3.336,-0.336,7,Thu,12,Introductory,2018,0,2,1,26
Fall 2016,2,MALE,17,3.647,123,3.287,0.36,8,Thu,12,Introductory,2019,0,2,1,14
Fall 2016,2,FEMALE,24,3.4,153,3.431,-0.031,8,Thu,12,Introductory,2020,0,1,0,83
Fall 2016,2,FEMALE,15,3.666,125,3.681,-0.015,9,Thu,13,Introductory,2020,0,1,0,15
Fall 2016,2,MALE,3,0,136,3.186,-3.186,7,Thu,13,Introductory,2018,0,2,1,35
Fall 2016,2,FEMALE,15,3.2,125,3.341,-0.141,8,Thu,13,Introductory,2018,0,2,1,33
Fall 2016,2,FEMALE,15,4,137,4,0,9,Thu,13,Intermediate,2018,0,1,0,1
Fall 2016,2,FEMALE,15,3.8,148.27,3.76,0.04,10,Thu,13,Advanced,2018,0,1,0,8
Fall 2016,2,FEMALE,12,2.666,143,3.465,-0.799,9,Thu,13,Introductory,2021,0,1,0,6
Fall 2016,2,MALE,18,3.833,138,3.174,0.659,10,Thu,13,Introductory,2018,0,1,0,16
Fall 2016,2,FEMALE,17,3.571,147,3.632,-0.061,11,Thu,14,Introductory,2021,0,1,0,6
Fall 2016,2,FEMALE,19,3.176,133,3.701,-0.525,8,Thu,14,Introductory,2020,0,1,0,6
Fall 2016,2,MALE,15,3.6,122,3.68,-0.08,8,Thu,14,Intermediate,2019,0,2,1,31
Fall 2016,2,MALE,21,2.266,25,1.282,0.984,9,Thu,14,Introductory,2018,1,2,1,2
Fall 2016,2,MALE,16,3.3,27,2.791,0.509,10,Thu,14,Introductory,2017,1,1,0,6
Fall 2016,2,MALE,0,0,143,3.117,-3.117,9,Thu,14,Introductory,2018,0,1,0,11
Fall 2016,2,MALE,18,4,139,3.946,0.054,8,Thu,15,Introductory,2020,0,1,0,2
Fall 2016,2,MALE,16,3.437,123,2.991,0.446,9,Thu,15,Introductory,2019,0,1,0,36
Fall 2016,2,FEMALE,19,3.769,123,3.666,0.103,10,Thu,15,Introductory,2020,0,2,1,3
Fall 2016,2,FEMALE,18,3.666,134,3.911,-0.245,11,Thu,15,Introductory,2018,0,2,1,26
Fall 2016,2,FEMALE,13,3.23,35,3.068,0.162,11,Thu,15,Introductory,2017,1,1,0,10
Fall 2016,2,FEMALE,14,4,176,3.625,0.375,11,Thu,15,Introductory,2020,0,1,0,30
Fall 2016,2,FEMALE,16,3.062,128,3.201,-0.139,11,Thu,15,Introductory,2020,0,1,0,27
Fall 2016,2,MALE,17,2.647,122,2.915,-0.268,11,Thu,15,Introductory,2020,0,1,0,3
Fall 2016,2,FEMALE,13,2.769,125,3.464,-0.695,12,Thu,15,Introductory,2020,0,1,0,3
Fall 2016,2,MALE,13,3,125,2.615,0.385,13,Thu,15,Introductory,2018,0,1,0,1
Fall 2016,2,FEMALE,18,4,127,4,0,13,Thu,15,Introductory,2021,0,1,0,20
Fall 2016,2,FEMALE,17,3.117,124,4,-0.883,12,Thu,16,Introductory,2021,0,1,0,10
Fall 2016,2,FEMALE,17,2.764,132,3.026,-0.262,13,Thu,16,Advanced,2021,0,2,1,2
Fall 2016,2,FEMALE,13,2.1,59,2.6,-0.5,14,Thu,16,Advanced,2018,1,2,1,2
Fall 2016,2,FEMALE,12,3.166,125,2.947,0.219,15,Thu,16,Introductory,2018,0,1,0,18
Fall 2016,2,FEMALE,10,1.4,141,2.25,-0.85,15,Thu,16,Advanced,2021,0,1,0,8
Fall 2016,2,MALE,16,3.812,122,3.773,0.039,16,Thu,16,Introductory,2020,0,1,0,1
Fall 2016,2,MALE,16,3.625,140,3.769,-0.144,17,Thu,16,Other,2018,0,1,0,1
Fall 2016,2,MALE,14,3,138,2.699,0.301,17,Thu,16,Introductory,2019,0,1,0,8
Fall 2016,2,MALE,16,3.437,123,3.333,0.104,18,Thu,16,Introductory,2020,0,1,0,14
Fall 2016,2,MALE,16,3.25,122,2.844,0.406,18,Thu,16,Introductory,2020,0,2,1,24
Fall 2016,2,MALE,16,3.769,107,3.619,0.15,19,Thu,16,Introductory,2021,0,2,1,45
Fall 2016,2,MALE,16,3.076,123,3.117,-0.041,20,Thu,16,Introductory,2020,0,1,0,33
Fall 2016,2,FEMALE,12,3.666,139,3.204,0.462,21,Thu,16,Intermediate,2020,0,1,0,8
Fall 2016,2,FEMALE,20,4,41,3.916,0.084,14,Thu,17,Introductory,2017,1,1,0,19
Fall 2016,2,MALE,16,3.625,125,3.467,0.158,15,Thu,17,Introductory,2018,0,1,0,25
Fall 2016,2,FEMALE,12,2.666,143,3.465,-0.799,14,Thu,17,Introductory,2021,0,1,0,6
Fall 2016,2,MALE,10,2.333,139,2.924,-0.591,14,Thu,17,Intermediate,2018,0,1,0,33
Fall 2016,2,MALE,18,3.666,159,3.736,-0.07,14,Thu,17,Introductory,2019,0,1,0,71
Fall 2016,2,MALE,13,3.769,128,3.588,0.181,11,Thu,17,Introductory,2020,0,1,0,64
