Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,148,FEMALE,13,2.1,126,-0.722,Thu,Introductory,2019,0,9,1,1,0,0,0,0
Fall,150,MALE,13,2.846,132,0.374,Thu,Introductory,2019,0,6,1,1,0,0,0,0
Fall,92,MALE,15,2.25,124,-0.572,Thu,Introductory,2020,0,3,1,1,0,0,0,0
Fall,50,FEMALE,13,2.8,153,-0.59,Thu,Introductory,2020,0,1,1,1,0,0,0,0
Fall,25,MALE,15,3.666,123,0.096,Thu,Introductory,2020,0,60,1,1,0,0,1,0
Fall,113,FEMALE,15,3.8,127,0.263,Thu,Introductory,2019,0,1,1,1,0,0,1,0
Fall,10,FEMALE,15,3.4,133,0.4,Thu,Intermediate,2018,0,2,0,0,1,0,1,0
Fall,72,MALE,15,2.6,128,-0.175,Thu,Introductory,2018,0,1,0,1,0,0,1,0
Fall,97,FEMALE,17,3,130,-0.336,Thu,Introductory,2018,0,26,0,1,0,0,1,0
Fall,75,FEMALE,24,3.4,153,-0.031,Thu,Introductory,2020,0,83,1,1,0,0,1,0
Fall,116,FEMALE,15,3.666,125,-0.015,Thu,Introductory,2020,0,15,1,1,0,0,1,0
Fall,131,MALE,3,0,136,-3.186,Thu,Introductory,2018,0,35,0,1,0,0,1,0
Fall,67,FEMALE,15,3.2,125,-0.141,Thu,Introductory,2018,0,33,0,1,0,0,1,0
Fall,21,FEMALE,15,4,137,0,Thu,Intermediate,2018,0,1,0,0,1,0,1,0
Fall,113,FEMALE,15,3.8,148.27,0.04,Thu,Advanced,2018,0,7,0,0,0,0,1,0
Fall,90,FEMALE,12,2.666,143,-0.799,Thu,Introductory,2021,0,6,1,1,0,0,1,0
Fall,24,MALE,18,3.833,138,0.659,Thu,Introductory,2018,0,16,0,1,0,0,1,0
Fall,10,FEMALE,17,3.571,147,-0.061,Thu,Introductory,2021,0,6,1,1,0,0,1,0
Fall,129,FEMALE,19,3.176,133,-0.525,Thu,Introductory,2020,0,6,1,1,0,0,1,0
Fall,15,MALE,15,3.6,122,-0.08,Thu,Intermediate,2019,0,31,1,0,0,0,1,0
Fall,128,MALE,21,2.266,25,0.984,Thu,Introductory,2018,1,2,0,1,0,0,1,0
Fall,42,MALE,16,3.3,27,0.509,Thu,Introductory,2017,1,6,0,1,0,0,1,0
Fall,71,MALE,0,0,143,-3.117,Thu,Introductory,2018,0,11,0,1,0,0,1,0
Fall,20,MALE,18,4,139,0.054,Thu,Introductory,2020,0,2,1,1,0,0,1,0
Fall,32,MALE,16,3.437,123,0.446,Thu,Introductory,2019,0,36,1,1,0,0,1,0
Fall,90,FEMALE,19,3.769,123,0.103,Thu,Introductory,2020,0,3,1,1,0,0,1,0
Fall,124,FEMALE,18,3.666,134,-0.245,Thu,Introductory,2018,0,25,0,1,0,0,1,0
Fall,93,FEMALE,13,3.23,35,0.162,Thu,Introductory,2017,1,10,0,1,0,0,1,0
Fall,124,FEMALE,14,4,176,0.375,Thu,Introductory,2020,0,30,1,1,0,0,1,0
Fall,80,FEMALE,16,3.062,128,-0.139,Thu,Introductory,2020,0,27,1,1,0,0,1,0
Fall,93,MALE,17,2.647,122,-0.268,Thu,Introductory,2020,0,3,1,1,0,0,1,0
Fall,7,FEMALE,13,2.769,125,-0.695,Thu,Introductory,2020,0,3,1,0,0,0,1,0
Fall,118,MALE,13,3,125,0.385,Thu,Introductory,2018,0,1,0,1,0,0,1,0
Fall,110,FEMALE,18,4,127,0,Thu,Introductory,2021,0,20,1,1,0,0,1,0
Fall,71,FEMALE,17,3.117,124,-0.883,Thu,Introductory,2021,0,10,1,1,0,0,1,0
Fall,59,FEMALE,17,2.764,132,-0.262,Thu,Graduate,2021,0,2,1,1,0,0,1,0
Fall,60,FEMALE,13,2.1,59,-0.5,Thu,Graduate,2018,1,2,1,1,0,0,1,0
Fall,90,FEMALE,12,3.166,125,0.219,Thu,Introductory,2018,0,18,0,1,0,0,1,0
Fall,9,FEMALE,10,1.4,141,-0.85,Thu,Advanced,2021,0,8,1,0,0,0,1,0
Fall,43,MALE,16,3.812,122,0.039,Thu,Introductory,2020,0,1,1,1,0,0,1,0
Fall,60,MALE,16,3.625,140,-0.144,Thu,Introductory,2018,0,1,0,0,0,0,1,0
