Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,50,FEMALE,15,4,131,0,12,Wed,Introductory,2020,0,1,1,0,0,0,1
Fall,7,MALE,16,4,122,0,9,Wed,Introductory,2020,0,1,1,0,0,0,1
Fall,26,MALE,16,2.687,137,-0.261,10,Wed,Intermediate,2018,0,0,0,1,0,0,1
Fall,61,MALE,12,2.75,154,0.205,7,Wed,Introductory,2020,0,1,1,0,0,0,1
Fall,47,FEMALE,18,4,127,0,6,Wed,Introductory,2021,0,1,1,0,0,0,1
Fall,151,MALE,16,2.714,132,0.033,1,Thu,Introductory,2019,0,1,1,0,0,0,0
Fall,58,FEMALE,19,4,133,0.031,2,Thu,Introductory,2019,0,1,1,0,0,0,0
Fall,97,MALE,12,3,133,-0.266,3,Thu,Introductory,2019,0,1,1,0,0,0,0
Fall,108,FEMALE,13,3.538,132,0.402,4,Thu,Intermediate,2018,0,0,1,0,0,0,0
Fall,118,MALE,18,3.666,159,-0.07,5,Thu,Introductory,2019,0,1,1,0,0,0,0
Fall,56,MALE,12,3.5,173,0.196,6,Thu,Introductory,2018,0,0,1,0,0,0,0
Fall,133,MALE,14,2.428,134,-0.372,5,Thu,Introductory,2018,0,0,1,0,0,0,0
Fall,148,FEMALE,13,2.1,126,-0.722,6,Thu,Introductory,2019,0,1,1,0,0,0,0
Fall,150,MALE,13,2.846,132,0.374,7,Thu,Introductory,2019,0,1,1,0,0,0,0
Fall,92,MALE,15,2.25,124,-0.572,5,Thu,Introductory,2020,0,1,1,0,0,0,0
Fall,50,FEMALE,13,2.8,153,-0.59,6,Thu,Introductory,2020,0,1,1,0,0,0,0
Fall,25,MALE,15,3.666,123,0.096,7,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,113,FEMALE,15,3.8,127,0.263,7,Thu,Introductory,2019,0,1,1,0,0,1,0
Fall,10,FEMALE,15,3.4,133,0.4,8,Thu,Intermediate,2018,0,0,0,1,0,1,0
Fall,72,MALE,15,2.6,128,-0.175,8,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,97,FEMALE,17,3,130,-0.336,7,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,399,MALE,17,3.647,123,0.36,8,Thu,Introductory,2019,0,1,1,0,0,1,0
Fall,75,FEMALE,24,3.4,153,-0.031,8,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,116,FEMALE,15,3.666,125,-0.015,9,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,131,MALE,3,0,136,-3.186,7,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,67,FEMALE,15,3.2,125,-0.141,8,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,21,FEMALE,15,4,137,0,9,Thu,Intermediate,2018,0,0,0,1,0,1,0
Fall,113,FEMALE,15,3.8,148.27,0.04,10,Thu,Advanced,2018,0,0,0,0,0,1,0
Fall,90,FEMALE,12,2.666,143,-0.799,9,Thu,Introductory,2021,0,1,1,0,0,1,0
Fall,24,MALE,18,3.833,138,0.659,10,Thu,Introductory,2018,0,0,1,0,0,1,0
Fall,10,FEMALE,17,3.571,147,-0.061,11,Thu,Introductory,2021,0,1,1,0,0,1,0
Fall,129,FEMALE,19,3.176,133,-0.525,8,Thu,Introductory,2020,0,1,1,0,0,1,0
Fall,15,MALE,15,3.6,122,-0.08,8,Thu,Intermediate,2019,0,1,0,0,0,1,0
